"Source Name","Program Name",Username,Date/Time,"Bytes Sent","Bytes Received",Comment,"Data Source"
SRUDB.dat,,,"2023-09-13 13:57:00 KST",5604050,892555211,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,System,"Local System","2023-09-13 13:57:00 KST",6008,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\cloudexperiencehostbroker.exe","Local System","2023-09-13 13:57:00 KST",3474,11670,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\devicecensus.exe","Local System","2023-09-13 13:57:00 KST",2425,7218,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\mousocoreworker.exe","Local System","2023-09-13 13:57:00 KST",8585,16693,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe",souldrag,"2023-09-13 13:57:00 KST",10505,17807,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe","Local System","2023-09-13 13:57:00 KST",15106,29216,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe",,"2023-09-13 13:57:00 KST",65004,1545268,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\taskhostw.exe","Local System","2023-09-13 13:57:00 KST",56131,132924,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\smartscreen.exe",souldrag,"2023-09-13 13:57:00 KST",6296,14511,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\smartscreen.exe",,"2023-09-13 13:57:00 KST",20309,72975,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\IPv6 Control Message","Local System","2023-09-13 13:57:00 KST",2446,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\users\souldrag\appdata\local\microsoft\onedrive\onedrive.exe",souldrag,"2023-09-13 13:57:00 KST",23931,114741,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\users\souldrag\appdata\local\microsoft\onedrive\update\onedrivesetup.exe",souldrag,"2023-09-13 13:57:00 KST",3127,8324,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\syswow64\onedrivesetup.exe",souldrag,"2023-09-13 13:57:00 KST",1648,4354,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files (x86)\microsoft\edge\application\msedge.exe",souldrag,"2023-09-13 13:57:00 KST",18117,119564,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\explorer.exe",souldrag,"2023-09-13 13:57:00 KST",794,1820,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\setup64.exe",souldrag,"2023-09-13 13:57:00 KST",1006,4383,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files\windows defender\mpcmdrun.exe","NT Authority","2023-09-13 13:57:00 KST",351414,9729771,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\users\souldrag\appdata\local\microsoft\onedrive\23.174.0820.0003\microsoft.sharepoint.exe",souldrag,"2023-09-13 13:57:00 KST",1838,8066,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\sihclient.exe",souldrag,"2023-09-13 13:57:00 KST",10278,47326,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\users\souldrag\appdata\local\microsoft\onedrive\21.220.1024.0005\microsoft.sharepoint.exe",souldrag,"2023-09-13 13:57:00 KST",413,2083,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\compattelrunner.exe","Local System","2023-09-13 13:57:00 KST",15480,183843,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\users\souldrag\appdata\local\microsoft\onedrive\onedrivestandaloneupdater.exe",souldrag,"2023-09-13 13:57:00 KST",2346,7028,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,,,"2023-09-13 14:58:00 KST",4881145,205026490,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,System,"Local System","2023-09-13 14:58:00 KST",29790,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\taskhostw.exe","Local System","2023-09-13 14:58:00 KST",1366,3768,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\smartscreen.exe",souldrag,"2023-09-13 14:58:00 KST",37100,75363,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\IPv6 Control Message","Local System","2023-09-13 14:58:00 KST",1800,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\users\souldrag\appdata\local\microsoft\onedrive\onedrive.exe",souldrag,"2023-09-13 14:58:00 KST",5166,10996,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files (x86)\microsoft\edge\application\msedge.exe",souldrag,"2023-09-13 14:58:00 KST",870646,8585403,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\users\souldrag\appdata\local\microsoft\onedrive\23.174.0820.0003\microsoft.sharepoint.exe",souldrag,"2023-09-13 14:58:00 KST",4358,7850,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\users\souldrag\appdata\local\microsoft\onedrive\onedrivestandaloneupdater.exe",souldrag,"2023-09-13 14:58:00 KST",1062,3679,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\apphostregistrationverifier.exe",souldrag,"2023-09-13 14:58:00 KST",1173,6550,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files\google\chrome\application\chrome.exe",souldrag,"2023-09-13 14:58:00 KST",2421786,23758987,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files (x86)\google\update\googleupdate.exe",souldrag,"2023-09-13 14:58:00 KST",21208,419303,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,,,"2023-09-13 15:58:00 KST",991139,1113522,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,System,"Local System","2023-09-13 15:58:00 KST",32652,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\IPv6 Control Message","Local System","2023-09-13 15:58:00 KST",1620,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files (x86)\microsoft\edge\application\msedge.exe",souldrag,"2023-09-13 15:58:00 KST",2155,3611,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files\google\chrome\application\chrome.exe",souldrag,"2023-09-13 15:58:00 KST",871231,983729,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,,,"2023-09-13 16:58:00 KST",26853451,576471943,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,System,"Local System","2023-09-13 16:58:00 KST",32760,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\taskhostw.exe",souldrag,"2023-09-13 16:58:00 KST",6386,3077,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\smartscreen.exe",souldrag,"2023-09-13 16:58:00 KST",24091,23701,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\IPv6 Control Message","Local System","2023-09-13 16:58:00 KST",1800,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files (x86)\microsoft\edge\application\msedge.exe",souldrag,"2023-09-13 16:58:00 KST",2188,5180,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files\google\chrome\application\chrome.exe",souldrag,"2023-09-13 16:58:00 KST",24328349,531753763,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,,,"2023-09-13 17:58:00 KST",3931897,323143393,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,System,"Local System","2023-09-13 17:58:00 KST",32760,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\IPv6 Control Message","Local System","2023-09-13 17:58:00 KST",1800,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files (x86)\microsoft\edge\application\msedge.exe",souldrag,"2023-09-13 17:58:00 KST",2080,3611,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files\google\chrome\application\chrome.exe",souldrag,"2023-09-13 17:58:00 KST",3806486,322982456,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,,,"2023-09-13 19:00:00 KST",20566683,1814046440,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,System,"Local System","2023-09-13 19:00:00 KST",33750,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\taskhostw.exe","Local System","2023-09-13 19:00:00 KST",1315,3563,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\windows\system32\smartscreen.exe",souldrag,"2023-09-13 19:00:00 KST",28111,35836,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\IPv6 Control Message","Local System","2023-09-13 19:00:00 KST",1800,0,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files (x86)\microsoft\edge\application\msedge.exe",souldrag,"2023-09-13 19:00:00 KST",2134,5125,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files\google\chrome\application\chrome.exe",souldrag,"2023-09-13 19:00:00 KST",16023321,443198332,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\program files\sublime text 3\sublime_text.exe",souldrag,"2023-09-13 19:00:00 KST",1735,6741,"System Resource Usage - Network Usage",2023_KDFS.E01
SRUDB.dat,"\efriend plus\efriendplus\efriendplus.exe",souldrag,"2023-09-13 19:00:00 KST",3400,12661,"System Resource Usage - Network Usage",2023_KDFS.E01
